xB,t,Q2,E,phi,DVCSAluSinPhi
0.181084,-0.128694,1.553540,5.932000,6.000000,0.398927
0.247267,-0.135801,1.979070,5.932000,6.000000,0.405220
0.258542,-0.227796,2.047730,5.932000,6.000000,0.436600
0.257897,-0.457348,1.943350,5.932000,6.000000,0.408188
0.254504,-0.137780,2.362220,5.932000,6.000000,0.284718
0.264769,-0.228628,2.447500,5.932000,6.000000,0.314797
0.265476,-0.443085,2.457940,5.932000,6.000000,0.312571
0.337185,-0.240100,2.670200,5.932000,6.000000,0.365782
0.349578,-0.455835,2.665460,5.932000,6.000000,0.434218
0.442331,-0.506819,3.314070,5.932000,6.000000,0.375099
